line,trip,hour,num_val,output_escalator_count,output_doors_count,output_turnstile_count,input_turnstile_total_bandwidth,input_turnstile_count,input_doors_count,entry_id,year,month,day,cluster
АРБАТСК-ПОКРОВСК,Пятницкое шоссе - Пятницкое шоссе,0.0,8.0,,,,,,,,2023,8,19,2
КАЛУЖСКО-РИЖСКАЯ,Рижская - Рижская,11.0,597.0,0.0,4.0,0.0,7.0,7.0,4.0,5.0,2023,1,26,0
КАЛУЖСКО-РИЖСКАЯ,Ботанический сад - Ботанический сад,0.0,144.0,0.0,4.0,0.0,8.0,8.0,4.0,2.0,2023,8,16,2
СОЛНЦЕВСКАЯ ЛИН.,Минская - Минская,14.0,296.0,,,,,,,,2023,2,21,0
ЗАМОСКВОРЕЦКАЯ,Речной вокзал - Речной вокзал,14.0,663.0,2.0,4.0,5.0,7.0,7.0,4.0,2.0,2023,1,16,0
СОКОЛЬНИЧЕСКАЯ,Черкизовская - Черкизовская,18.0,85.0,1.0,8.0,15.0,19.0,19.0,8.0,2.0,2023,6,19,1
АРБАТСК-ПОКРОВСК,Строгино - Строгино,11.0,872.0,0.0,4.0,5.0,11.0,11.0,4.0,4.0,2023,3,7,1
СЕРПУХОВ-ТИМИРЯЗ,Владыкино - Владыкино,5.0,147.0,0.0,4.0,8.0,11.0,11.0,4.0,1.0,2023,1,25,2
КАЛИНИНСКАЯ,Перово - Перово,12.0,564.0,0.0,4.0,0.0,9.0,9.0,4.0,3.0,2023,1,20,0
КАЛИНИНСКАЯ,Новогиреево - Новогиреево,5.0,1107.0,0.0,4.0,5.0,11.0,11.0,4.0,4.0,2023,4,5,1
БКЛ,Шелепиха - Шелепиха,9.0,134.0,,,,,,,,2023,2,23,2
МИНИМЕТРО,Международная - Международная,23.0,120.0,0.0,4.0,4.0,5.0,5.0,4.0,5.0,2023,5,26,0
ЗАМОСКВОРЕЦКАЯ,Войковская - Войковская,15.0,992.0,0.0,3.0,0.0,9.0,9.0,3.0,2.0,2023,7,1,0
ЛЮБЛИНСКАЯ,Волжская - Волжская,11.0,508.0,0.0,4.0,5.0,8.0,8.0,4.0,13.0,2023,6,23,1
ТАГАНСК-КРАСНОПР,Волгоградский пр - Волгоградский пр,6.0,534.0,0.0,4.0,0.0,6.0,6.0,4.0,4.0,2023,8,3,2
БКЛ,Нагатинский З-н - Нагатинский З-н,20.0,157.0,,,,,,,,2023,5,1,0
АРБАТСК-ПОКРОВСК,Мякинино - Мякинино,22.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2023,6,29,0
СОКОЛЬНИЧЕСКАЯ,Б.Рокоссовского - Б.Рокоссовского,9.0,1470.0,2.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,1,9,0
БКЛ,Шелепиха - Шелепиха,2.0,1.0,,,,,,,,2023,2,11,2
ТАГАНСК-КРАСНОПР,Улица 1905 года - Улица 1905 года,5.0,22.0,0.0,4.0,0.0,8.0,8.0,4.0,13.0,2023,5,31,1
ЛЮБЛИНСКАЯ,Чкаловская - Чкаловская,22.0,1395.0,0.0,4.0,13.0,9.0,9.0,2.0,5.0,2023,4,28,0
КАЛУЖСКО-РИЖСКАЯ,Алексеевская - Алексеевская,15.0,1092.0,0.0,4.0,0.0,7.0,7.0,4.0,5.0,2023,6,11,0
ТАГАНСК-КРАСНОПР,Таганская Р - Таганская Р,6.0,224.0,,,,,,,,2023,1,11,2
НЕКРАСОВСКАЯ,Косино - Косино,19.0,96.0,,,,,,,,2023,5,18,0
ТАГАНСК-КРАСНОПР,Кузьминки - Кузьминки,21.0,369.0,0.0,4.0,5.0,8.0,8.0,4.0,4.0,2023,1,3,0
ЛЮБЛИНСКАЯ,Марьино - Марьино,7.0,1232.0,0.0,4.0,5.0,7.0,7.0,4.0,12.0,2023,6,26,1
ТАГАНСК-КРАСНОПР,Тушинская - Тушинская,3.0,3.0,0.0,4.0,0.0,8.0,8.0,4.0,12.0,2023,1,8,2
МЦК,Нижегородск. МЦК - Нижегородск. МЦК,20.0,987.0,,,,,,,,2023,1,24,0
ЗАМОСКВОРЕЦКАЯ,Домодедовская - Домодедовская,2.0,6.0,0.0,4.0,5.0,9.0,9.0,4.0,2.0,2023,1,28,2
СОКОЛЬНИЧЕСКАЯ,Преображенск. пл - Преображенск. пл,20.0,803.0,0.0,4.0,0.0,8.0,8.0,4.0,1.0,2023,5,18,0
БКЛ,Шелепиха - Шелепиха,17.0,250.0,,,,,,,,2023,4,22,0
БУТОВСКАЯ ЛИНИЯ,Ул. Скобелевская - Ул. Скобелевская,16.0,356.0,0.0,3.0,8.0,4.0,4.0,3.0,13.0,2023,3,7,0
СОКОЛЬНИЧЕСКАЯ,Коммунарка - Коммунарка,20.0,336.0,,,,,,,,2023,7,30,0
БКЛ,Текстильщики БКЛ - Текстильщики БКЛ,19.0,1273.0,,,,,,,,2023,7,15,0
СЕРПУХОВ-ТИМИРЯЗ,Ул. Ак. Янгеля - Ул. Ак. Янгеля,3.0,1.0,0.0,4.0,5.0,7.0,7.0,4.0,1.0,2023,2,21,2
ЛЮБЛИНСКАЯ,Люблино - Люблино,13.0,648.0,0.0,4.0,5.0,8.0,8.0,4.0,13.0,2023,1,18,1
ФИЛЁВСКАЯ,Багратионовская - Багратионовская,12.0,416.0,0.0,2.0,3.0,3.0,3.0,2.0,4.0,2023,4,9,0
